RunID,RMSE,Activate B1 Overtime,Activate R1 Burnout,Activate B1.1 Duty of Care,Activate B2 Digital Health,Activate R2 Telemedicine Rework,Activate B3 Surge Resources,Activate R3 Sub-Optimal Consultations,SEIR.Activate B1.2 Aware Citizens,SEIR.Activate B1.1 Vaccination,SEIR.PAR ALPHA,SEIR.PAR GAMMA,Fatigue Onset Time,Fatigue Reporting Delay,Max Digital Health Fraction,AF Digital Health,Maximum Telemedicine Effectiveness,Minimum Telemedicine Effectiveness,AF TME,Maximum Surge Capacity Fraction,AF Labour,Minimum Preparedness Proportion,Maximum Preparedness Proportion,AF Preparedness
14,7.3981020499,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.70575,0.03305,1.3105,1.8505,0.16325,0.7765,0.393375,0.1943,0.9115,0.07625,0.9685,0.12075,0.25875,0.1655
15,9.72028512121e-4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.51025,0.01755,1.0225,2.0755,0.31425,0.7215,0.676875,0.0463,0.2585,0.21075,0.1535,0.03135,0.78525,0.3215
16,0.941980128443,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.69975,0.01215,7.6285,1.7425,0.47825,0.7105,0.123375,0.0837,0.7385,0.20025,0.1645,0.18045,0.17955,0.2025
17,1.48898796741,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.78975,0.05735,4.6855,7.2955,0.14625,0.3885,0.713625,0.0419,0.3125,0.07275,0.9785,0.24705,0.09045,0.3185
18,1.63616973192e-4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.80175,0.02645,2.8405,8.7895,0.31125,0.3545,0.646875,0.1887,0.9625,0.40175,0.7055,0.24675,0.72765,0.7665
19,2.75614702107e-5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.83975,0.07025,8.5825,1.1575,0.16275,0.8365,0.187875,0.1785,0.2785,0.11225,0.8365,0.17745,0.75555,0.5625
20,2.32420604884e-4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.84575,0.09855,8.5465,3.9385,0.01475,0.3785,0.151125,0.0761,0.0075,0.35075,0.3235,0.12885,0.33255,0.2295
21,1610.82050514,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.70175,0.00215,3.3445,6.1975,0.03125,0.8255,0.009375,0.1129,0.5935,0.20125,0.4725,0.05385,0.05625,0.2255
22,0.00391473120559,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.69775,0.05185,9.3835,6.8635,0.41175,0.2795,0.433125,0.0425,0.2845,0.32175,0.2625,0.04005,0.37395,0.2375
23,1.1976316421e-4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.62425,0.00625,9.6355,8.9785,0.19325,0.4655,0.572625,0.1851,0.3065,0.38175,0.3865,0.11385,0.86175,0.2075
24,8.57952982748e-5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.64975,0.01655,7.3045,1.0855,0.26675,0.5155,0.577125,0.1327,0.0945,0.24675,0.8975,0.01245,0.40905,0.7065
25,0.0109232474858,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.83625,0.05655,7.3135,6.6745,0.40625,0.1925,0.491625,0.0855,0.6025,0.32875,0.6095,0.21165,0.67185,0.1285
26,1.04960979623,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.58875,0.03755,8.1235,9.3745,0.07775,0.3015,0.735375,0.1991,0.9895,0.45375,0.0655,0.26985,0.04725,0.6705
27,1.06072599509,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.58225,0.00435,5.1265,8.4385,0.30475,0.3095,0.041625,0.0949,0.9375,0.14325,0.0335,0.09495,0.51075,0.7695
28,0.00278667259393,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.58425,0.01235,6.1975,2.4895,0.09125,0.7685,0.658875,0.0665,0.9735,0.23425,0.1575,0.28425,0.22455,0.7655
29,0.0900389050123,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.77825,0.02375,1.8865,3.8035,0.46925,0.9705,0.220125,0.1239,0.2385,0.34925,0.3955,0.15435,0.43245,0.5705
30,59.7765382222,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.69325,0.03805,5.9095,9.5365,0.30775,0.5995,0.563625,0.1075,0.6505,0.09425,0.2195,0.06585,0.87075,0.7815
31,9.19741804246e-4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.66275,0.09805,2.5435,2.7865,0.03675,0.8535,0.043875,0.1059,0.6965,0.01475,0.8525,0.28335,0.32175,0.4225
32,712.111131828,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.89425,0.09645,5.7925,2.2735,0.12025,0.2215,0.433875,0.1271,0.4625,0.46575,0.3425,0.12975,0.13185,0.5505
33,0.139065160566,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.86625,0.08805,9.2665,2.5255,0.47175,0.7385,0.612375,0.1709,0.4155,0.34025,0.0235,0.26595,0.13275,0.2595
34,0.462382479712,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.52775,0.09725,2.7505,7.5385,0.25125,0.0405,0.637125,0.0353,0.4855,0.04225,0.7645,0.03555,0.62955,0.2515
35,2.17932737272e-4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.84475,0.09845,7.8265,5.4145,0.45775,0.5195,0.058875,0.1081,0.9685,0.37675,0.3445,0.22515,0.46755,0.2695
36,3.29684780657,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.54875,0.02775,6.4315,2.1565,0.45825,0.3495,0.306375,0.0305,0.6015,0.03925,0.3515,0.27045,0.24795,0.1125
37,2.5026024949,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.92625,0.04375,9.8785,8.3935,0.17325,0.0255,0.072375,0.0569,0.4775,0.22075,0.5945,0.01755,0.74835,0.7035
38,343.788621449,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.99075,0.01945,9.8515,6.8815,0.29975,0.6415,0.350625,0.1421,0.0275,0.48375,0.4025,0.10935,0.88965,0.1905
39,4.80664906807e-5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.61675,0.02755,6.0085,5.3425,0.30275,0.5545,0.588375,0.0669,0.7015,0.28975,0.6175,0.28095,0.69615,0.8995
40,552.014865494,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.99725,0.02355,6.4225,4.8295,0.45925,0.8595,0.541875,0.1557,0.7245,0.10075,0.2715,0.08685,0.21645,0.9225
41,1.17155083954e-4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.77675,0.07705,8.7985,1.2925,0.20075,0.9545,0.086625,0.1869,0.8685,0.43775,0.4655,0.09105,0.50355,0.4565
42,3.66737386304e-5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.64075,0.06215,7.4485,7.0705,0.38125,0.8085,0.455625,0.1089,0.7495,0.10375,0.7095,0.23115,0.69075,0.2975
43,0.333092905623,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.59975,0.05845,9.7165,8.1235,0.05175,0.1865,0.545625,0.1589,0.3835,0.24225,0.1955,0.18075,0.42975,0.6815
44,0.0114529852316,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.78525,0.06525,7.8355,7.9705,0.48375,0.3425,0.298125,0.1433,0.1485,0.46925,0.4585,0.14235,0.54675,0.4135
45,0.0215774030781,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.88075,0.09955,3.0565,3.7855,0.32125,0.6185,0.473625,0.1725,0.5005,0.34125,0.2085,0.24735,0.12015,0.4555
46,2.48374434866e-4,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,0.92025,0.07395,7.7455,2.8045,0.07875,0.4465,0.208875,0.1249,0.3195,0.41375,0.5105,0.16815,0.70965,0.3675
47,8.25089040828e-4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0.84975,0.04435,7.6825,6.5755,0.11725,0.2565,0.583875,0.0933,0.3435,0.38075,0.0795,0.22875,0.25155,0.5685
48,3.26377506086e-4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.97525,0.04085,6.6655,8.8075,0.48475,0.0785,0.353625,0.1161,0.4085,0.20525,0.1995,0.11235,0.43335,0.1995
49,0.0105474250269,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.89525,0.00365,4.5055,8.8975,0.03175,0.9285,0.112875,0.1345,0.4805,0.27875,0.5845,0.19215,0.78975,0.7285
50,6.0567984812e-5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.96025,0.08425,4.1365,3.5335,0.44325,0.9825,0.268875,0.1467,0.5355,0.08675,0.6255,0.26745,0.55215,0.8875
51,5.92597684764e-4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.84375,0.03155,6.8995,5.1535,0.09425,0.3145,0.245625,0.0277,0.5625,0.18775,0.1335,0.27465,0.45315,0.4685
52,1.60298003507e-4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.64175,0.06845,9.7615,5.8735,0.47375,0.3165,0.541125,0.0303,0.6225,0.04975,0.4815,0.08565,0.19485,0.6685
53,9.11861448466e-5,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.56275,0.03075,7.0525,1.4815,0.44625,0.7125,0.610875,0.1343,0.2295,0.27475,0.7655,0.05835,0.53865,0.6505
54,0.781992677771,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,0.71425,0.02905,9.4825,4.5865,0.01825,0.8705,0.110625,0.0443,0.7655,0.03825,0.8915,0.17895,0.07785,0.5185
55,0.0335257538508,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.62875,0.00555,9.1225,2.0575,0.23375,0.7705,0.081375,0.1005,0.8765,0.09475,0.8005,0.10995,0.14265,0.8245
56,0.00244934311682,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0.94775,0.04635,7.4845,3.1015,0.11075,0.6155,0.246375,0.0467,0.1835,0.30425,0.5865,0.17055,0.27765,0.9655
57,7.55376973465,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.65575,0.09465,9.8425,9.0235,0.24775,0.3195,0.339375,0.0369,0.4705,0.15825,0.3725,0.01935,0.29295,0.4205
58,6.78419923192e-4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.65875,0.08105,2.6335,1.5445,0.45625,0.9125,0.662625,0.1595,0.7855,0.30775,0.3005,0.14655,0.40545,0.5405
59,299.283051572,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.60875,0.05125,1.7695,9.9325,0.05775,0.6645,0.059625,0.1693,0.1355,0.23925,0.0545,0.20535,0.28035,0.7775
60,588.72026596,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.64025,0.04505,2.3815,9.0955,0.39275,0.8245,0.509625,0.0337,0.3975,0.09275,0.1685,0.17385,0.47565,0.9015
61,218.734406486,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.70725,0.02405,5.8285,5.1355,0.22225,0.9325,0.641625,0.1077,0.6125,0.04325,0.5975,0.06345,0.32535,0.5385
62,6.83964002805,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.82325,0.05765,7.6465,1.9495,0.11625,0.9095,0.703875,0.0291,0.5265,0.47775,0.7435,0.03465,0.84825,0.9935
63,0.4124452521,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.84825,0.00375,7.0885,1.9855,0.15475,0.0115,0.058125,0.1009,0.0485,0.22525,0.6365,0.08715,0.38655,0.9895
64,4.94534994007,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.58175,0.02005,9.5995,5.6395,0.21525,0.8905,0.199875,0.1371,0.6745,0.22225,0.2815,0.07875,0.19665,0.0855
65,583.737161511,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.57175,0.05085,8.0515,3.7135,0.23925,0.3275,0.080625,0.1949,0.2615,0.11725,0.2455,0.03525,0.32715,0.7165
66,8.38752406082e-5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.53525,0.05675,7.0255,7.1065,0.17425,0.6115,0.439125,0.1489,0.9985,0.12625,0.7525,0.05145,0.43605,0.7595
67,8.78282019668e-5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.70925,0.02915,9.9775,2.8135,0.13825,0.2345,0.523125,0.0049,0.1635,0.17075,0.3835,0.05895,0.14895,0.1865
68,1566.16299906,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.80225,0.03415,3.1465,5.4055,0.13575,0.2625,0.733125,0.0343,0.3585,0.01075,0.1485,0.15285,0.02745,0.9775
69,0.214034692766,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.56325,0.01745,6.6295,2.9575,0.37725,0.1015,0.166125,0.0263,0.4905,0.07175,0.9745,0.15945,0.89775,0.2935
70,0.00115238580064,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.76775,0.02865,3.6415,5.2165,0.32825,0.2015,0.227625,0.1571,0.3755,0.27425,0.0555,0.26505,0.19035,0.2795
71,8.67106311361e-5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.99475,0.08605,6.4585,5.4325,0.42175,0.5895,0.417375,0.0229,0.9675,0.07325,0.5875,0.01395,0.68805,0.4745
72,7.51313394346e-4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.77025,0.06055,5.0815,3.2815,0.02725,0.9565,0.114375,0.1775,0.2335,0.34675,0.0175,0.13215,0.54225,0.0345
73,0.020189732719,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.88675,0.08625,4.6045,5.8645,0.09025,0.8445,0.715125,0.0701,0.4015,0.32425,0.0065,0.11895,0.05445,0.4805
74,4.77799738274,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.88825,0.01625,1.7065,1.7335,0.01375,0.7735,0.535125,0.1277,0.7745,0.14475,0.2975,0.23745,0.53415,0.4265
75,8.54867156232e-5,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,0.91725,0.04195,3.6235,5.1895,0.47775,0.7625,0.692625,0.0099,0.6625,0.37925,0.4835,0.02145,0.42255,0.4995
76,0.585078218765,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.63775,0.05905,6.4765,2.3815,0.07025,0.8845,0.638625,0.0227,0.8185,0.46275,0.4245,0.07215,0.66825,0.2215
77,10.5846940727,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.68525,0.05465,8.8525,1.5625,0.44725,0.2475,0.163875,0.1291,0.9545,0.15325,0.9955,0.22335,0.24075,0.0955
78,18.4648929567,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.58825,0.02925,8.6545,5.9275,0.23325,0.4845,0.592125,0.1715,0.5875,0.11425,0.3565,0.27825,0.77805,0.0555
79,873.960622219,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.56775,0.08115,8.8345,2.6065,0.49975,0.5405,0.443625,0.0981,0.8015,0.20625,0.7245,0.27645,0.29745,0.1415
80,0.0240995089842,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.96325,0.04025,3.9745,4.5505,0.21675,0.9195,0.483375,0.0047,0.6465,0.39725,0.9005,0.21225,0.80955,0.5905
81,2.05267155601e-4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.55325,0.05435,9.2575,5.6485,0.37225,0.6325,0.460125,0.0285,0.2175,0.49075,0.3315,0.15885,0.29385,0.0125
82,7.88028278074e-4,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.64625,0.00445,4.9195,3.7765,0.31175,0.2995,0.231375,0.1899,0.4755,0.38225,0.2395,0.06285,0.89235,0.1805
83,343.788621449,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.88725,0.01365,1.1125,4.1905,0.21075,0.9305,0.652875,0.0529,0.6135,0.45825,0.5245,0.09015,0.16875,0.0215
84,39.7658048244,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.65625,0.08155,3.1645,3.9835,0.44525,0.6475,0.199125,0.1659,0.2145,0.08575,0.3805,0.04065,0.28485,0.2045
85,0.00837180591333,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.75625,1.5e-4,5.2795,6.2515,0.45325,0.3345,0.139125,0.0175,0.0825,0.10525,0.0905,0.10305,0.81045,0.5535
86,0.651734225662,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.91025,0.01535,5.5405,6.0805,0.09475,0.0225,0.718875,0.1865,0.9585,0.15275,0.7835,0.22635,0.21285,0.6985
87,8.8463811787,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.60975,0.09825,4.8385,3.3445,0.31525,0.0055,0.136125,0.1599,0.5675,0.46725,0.5715,0.04635,0.18045,0.1585
88,0.250421138394,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0.63825,0.01085,3.4525,5.6035,0.25625,0.6085,0.203625,0.1809,0.5455,0.28575,0.9865,0.16335,0.63225,0.4385
89,4.31882539725,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.81925,0.00425,1.1395,3.5965,0.22875,0.1285,0.487875,0.1597,0.8835,0.03575,0.1395,0.07425,0.08505,0.5105
90,2.00792020574e-4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.57675,0.08335,3.2905,5.2075,0.38625,0.0275,0.367875,0.1041,0.7555,0.13825,0.2735,0.25485,0.15075,0.5695
91,0.0443566358304,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.73925,0.06175,4.2535,1.5535,0.24025,0.2225,0.290625,0.0063,0.0835,0.32125,0.9605,0.10905,0.01755,0.9565
92,7.11833982313,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.93425,0.01345,3.9385,6.8995,0.33275,0.7985,0.111375,0.0219,0.0735,0.14975,0.9755,0.27255,0.66465,0.6545
93,7.11594330776e-4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.78375,0.06305,5.6845,9.7255,0.09825,0.3065,0.724125,0.0719,0.1905,0.41175,0.8745,0.20775,0.80595,0.0635
94,0.571879385944,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.93625,0.00815,2.4985,8.7625,0.41725,0.6285,0.440625,0.0625,0.3145,0.05225,0.7495,0.24015,0.72225,0.4175
95,6.44815571654e-4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.78425,0.01975,1.5895,2.3995,0.19125,0.2395,0.574125,0.1475,0.4165,0.11125,0.4895,0.11835,0.70335,0.2365
96,10.9451794759,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.82625,0.04015,9.3115,8.9335,0.42425,0.8485,0.268125,0.0827,0.6885,0.09075,0.4155,0.10005,0.06345,0.0325
97,74.1585079852,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.57925,0.01565,6.7105,9.7345,0.10775,0.6045,0.001125,0.1737,0.0725,0.41425,0.4035,0.06795,0.40005,0.8355
98,0.657293294603,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.95225,0.05355,6.7195,9.7705,0.44025,0.5135,0.436875,0.1661,0.1875,0.38975,0.6345,0.21675,0.33615,0.2175
99,0.0130419984958,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.89075,0.00955,3.6325,3.4525,0.09225,0.2295,0.207375,0.0503,0.9845,0.39175,0.0055,0.27195,0.07335,0.6285
100,2.11452109608e-4,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.51925,0.05365,6.9895,3.4075,0.21575,0.3485,0.730875,0.0807,0.3045,0.33025,0.6425,0.11775,0.68265,0.1425
101,0.349857146026,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0.94525,0.07915,3.3805,9.2845,0.00175,0.5565,0.694875,0.0071,0.5055,0.44375,0.2925,0.25515,0.87165,0.7215
102,0.258014889455,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.77425,0.07495,2.0935,8.0785,0.38825,0.9405,0.106875,0.1087,0.2545,0.28925,0.7775,0.13785,0.43965,0.8785
103,1.53108400332e-4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.54575,0.01015,9.5545,3.5785,0.16525,0.8935,0.220875,0.1533,0.1145,0.27775,0.5175,0.10395,0.82575,0.0605
104,8.66953201205,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.55975,0.09635,4.1815,1.8775,0.08825,0.5325,0.597375,0.0097,0.6875,0.46025,0.4755,0.27015,0.65475,0.4055
105,5.33259573149,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.86575,0.07365,7.2595,9.6625,0.01025,0.7205,0.405375,5e-4,0.3355,0.08475,0.9365,0.06375,0.85725,0.5785
106,0.0397743483613,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.70775,0.08755,6.0265,7.8355,0.37775,0.0095,0.745875,0.1961,0.3025,0.18825,0.9295,0.10335,0.72855,0.3925
